track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Light It Up,Robin Hustin,6ibayfvVOby1NSKJFohtZp,https://api.spotify.com/v1/tracks/6ibayfvVOby1NSKJFohtZp,0.0037,0.671,0.949,3.83E-05,0.374,-2.44,0.0829,128.028,0.0724
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,0.586,0,0.79,-6.687,0.0559,116.971,0.642
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,0.913
Love me or Leave me,DAY6,7F9HWeJf4BTUzpj3B0CQKT,https://api.spotify.com/v1/tracks/7F9HWeJf4BTUzpj3B0CQKT,0.00085,0.618,0.899,0,0.124,-3.364,0.0328,126.012,0.58
Youngblood - R3HAB Remix,5 Seconds of Summer,2vIzH4NfFGoJHA5rn1dFWT,https://api.spotify.com/v1/tracks/2vIzH4NfFGoJHA5rn1dFWT,0.0312,0.425,0.771,0,0.165,-4.293,0.0629,142.034,0.213
Rise Up,TheFatRat,6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/tracks/6inzGTxyGsXVjpVKtFGrcE,0.254,0.614,0.694,2.63E-06,0.0733,-5.713,0.0932,163.942,0.578
Undertale - Bergentrückung + Asgore,Geek Music,3rDtB3kKqwRgrGCvuRSW9X,https://api.spotify.com/v1/tracks/3rDtB3kKqwRgrGCvuRSW9X,0.000759,0.635,0.831,0.812,0.147,-12.804,0.0345,115.216,0.474
It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,0.0263,0.551,0.913,1.35E-05,0.347,-4.063,0.0466,119.992,0.544
Hold Back the Sun,The Lighthearts,2pOsXzFmln7w6VXkpqXZMj,https://api.spotify.com/v1/tracks/2pOsXzFmln7w6VXkpqXZMj,0.0314,0.368,0.822,7.68E-06,0.17,-5.248,0.0431,122.004,0.368
Say It Right,Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,https://api.spotify.com/v1/tracks/2aI21FnmY7TJVKeMaoQZ0t,0.0476,0.872,0.872,0.00112,0.0543,-6.328,0.139,116.948,0.809
TOMORROW,Machico,478MR37OX1FZV8ngGCqemn,https://api.spotify.com/v1/tracks/478MR37OX1FZV8ngGCqemn,0.0654,0.622,0.984,3.04E-06,0.199,-1.561,0.183,134.067,0.478
Abandon Ship,Simon Chylinski,39NBpzpV7oY6Yfb9AhfyVz,https://api.spotify.com/v1/tracks/39NBpzpV7oY6Yfb9AhfyVz,0.131,0.663,0.673,0.912,0.103,-9.426,0.118,140.029,0.466
Starkiller Base - Instrumental Version,SOAP!,5kNsipIamzUu0VcY3O2Fpr,https://api.spotify.com/v1/tracks/5kNsipIamzUu0VcY3O2Fpr,0.00485,0.766,0.4,0.947,0.0859,-9.523,0.0389,120.018,0.479
