track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Heart Afire,Defqwop,4s4XzNKcU3PtmeV7OdXDmv,https://api.spotify.com/v1/tracks/4s4XzNKcU3PtmeV7OdXDmv,0.0316,0.414,0.708,0,0.0623,-4.181,0.0912,199.9,0.392
Commodus Pt.3 (The Battle),Stefan Nixdorf,1vDG3v8n9iXjieDCGDBYrP,https://api.spotify.com/v1/tracks/1vDG3v8n9iXjieDCGDBYrP,0.00709,0.667,0.946,0.686,0.0763,-5.565,0.0552,120.018,0.105
This Is Gospel,Panic! At The Disco,3yZQk5PC52CCmT4ZaTIKvv,https://api.spotify.com/v1/tracks/3yZQk5PC52CCmT4ZaTIKvv,0.00155,0.572,0.912,1.20E-06,0.102,-4.875,0.0707,156.073,0.606
"Dancing Through Life - From ""Wicked"" Original Broadway Cast Recording/2003",Norbert Leo Butz,45Yr7rD2vH3OsTRseT6gfA,https://api.spotify.com/v1/tracks/45Yr7rD2vH3OsTRseT6gfA,0.619,0.458,0.445,0,0.193,-8.752,0.0517,116.606,0.337
Swing it,Sean&Bobo,4mwjYRjUBsUwclx0QFKVPx,https://api.spotify.com/v1/tracks/4mwjYRjUBsUwclx0QFKVPx,0.19,0.824,0.911,0.274,0.126,-3.586,0.0452,128.026,0.662
Outbreaker,Hinkik,5tdobxNAxGl9pSlTqT2toN,https://api.spotify.com/v1/tracks/5tdobxNAxGl9pSlTqT2toN,0.0605,0.716,0.719,0,0.634,-4.087,0.0406,128.026,0.306
Out Of Control - Original Mix,Cosmic,5rlYABI9Uk8dUxEoSyLymn,https://api.spotify.com/v1/tracks/5rlYABI9Uk8dUxEoSyLymn,0.000155,0.693,0.927,0.0899,0.343,-2.78,0.22,134.038,0.248
Ena,Hinkik,781keEYQlijESJ5B7oifcr,https://api.spotify.com/v1/tracks/781keEYQlijESJ5B7oifcr,0.0418,0.619,0.878,0.000394,0.124,-4.05,0.0324,128.023,0.284
Cloud 9 (Originally Performed by Luke Benward & Dove Cameron) [Lullaby Version],Merry Tune Makers,6hAmZwEjrjVII9qqAyTRwT,https://api.spotify.com/v1/tracks/6hAmZwEjrjVII9qqAyTRwT,0.915,0.834,0.328,0.94,0.0951,-10.461,0.0759,122.022,0.765
Swiggity,IZECOLD,0jTWJLIyKrqxqTBCO0nkwh,https://api.spotify.com/v1/tracks/0jTWJLIyKrqxqTBCO0nkwh,0.069,0.738,0.862,0.825,0.0748,-6.042,0.0465,128.024,0.733
Jupiter (From The Planets),Gustav Holst,1TRXjzFQvzHI6X4f6MCYI9,https://api.spotify.com/v1/tracks/1TRXjzFQvzHI6X4f6MCYI9,0.944,0.294,0.124,0.88,0.0792,-21.561,0.0385,132.56,0.149
Cloud 9,Tobu,79ZeRtWOAVsmqATch7TnUM,https://api.spotify.com/v1/tracks/79ZeRtWOAVsmqATch7TnUM,0.0277,0.7,0.741,7.40E-05,0.0948,-5.054,0.0936,128.081,0.502
One Last Time,DG812,2RP3W99nATP4XHktaZIxqe,https://api.spotify.com/v1/tracks/2RP3W99nATP4XHktaZIxqe,0.0139,0.619,0.895,0.537,0.109,-2.544,0.0265,140.025,0.697
ダンスフロアの果実 feat. nicamoq,Yunomi,27XNMx22JVfs2EJDYEFPqT,https://api.spotify.com/v1/tracks/27XNMx22JVfs2EJDYEFPqT,0.0402,0.723,0.903,3.55E-06,0.355,-3.711,0.0473,114.997,0.789
Bipolarity,Starcat,2rRltDt3s88DFJqebU4H4m,https://api.spotify.com/v1/tracks/2rRltDt3s88DFJqebU4H4m,0.0148,0.774,0.884,0.00603,0.0904,-3.923,0.0522,110.03,0.946
Can't Help Falling in Love - Single,Haley Reinhart,6LmFlSjRJJNcfJSxZTdcTe,https://api.spotify.com/v1/tracks/6LmFlSjRJJNcfJSxZTdcTe,0.947,0.41,0.0485,0,0.108,-13.918,0.038,137.97,0.247
I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,0.559,0.703,0.444,0,0.0973,-9.331,0.0417,150.96,0.712
Not Ok - Frank Walker Remix,Kygo,6VP3410weACXiPCVLKSkOb,https://api.spotify.com/v1/tracks/6VP3410weACXiPCVLKSkOb,0.0337,0.679,0.866,0,0.0688,-3.754,0.0566,121.927,0.441
are you sure?,Loote,0PiRp1VzEBHp68wY1M7zMs,https://api.spotify.com/v1/tracks/0PiRp1VzEBHp68wY1M7zMs,0.42,0.579,0.618,0,0.109,-6.433,0.0473,106.087,0.285
Falling Like The Stars,James Arthur,395KzBy0bkb57dEvg6cfzJ,https://api.spotify.com/v1/tracks/395KzBy0bkb57dEvg6cfzJ,0.79,0.3,0.347,2.14E-06,0.111,-9.542,0.0364,169.361,0.164
Me Sinto Bem,Caio Bud,5a6UWXgJMCfhw0Xi3D5nNj,https://api.spotify.com/v1/tracks/5a6UWXgJMCfhw0Xi3D5nNj,0.353,0.723,0.592,0,0.108,-7.793,0.0472,127.049,0.347
Got It In You - Acoustic,BANNERS,4unF8ldGPeedLz8HRIvgxg,https://api.spotify.com/v1/tracks/4unF8ldGPeedLz8HRIvgxg,0.725,0.58,0.354,0,0.118,-5.722,0.0419,72.049,0.214
Young,Parachute,7cpEhtddPd70q9a48mRvgz,https://api.spotify.com/v1/tracks/7cpEhtddPd70q9a48mRvgz,0.0361,0.683,0.682,1.47E-05,0.159,-5.911,0.0323,93.994,0.506
First Burn,Ari Afsar,1A2gifkaEngunqZAFHUS0j,https://api.spotify.com/v1/tracks/1A2gifkaEngunqZAFHUS0j,0.343,0.679,0.472,0,0.649,-6.871,0.036,99.024,0.346
Island Song,Zac Brown Band,273gNDaG3xT0ulMx4Vct6M,https://api.spotify.com/v1/tracks/273gNDaG3xT0ulMx4Vct6M,0.208,0.845,0.7,0,0.166,-6.025,0.0504,145.892,0.892
"You Can Be King Again (From ""Hotarubi No Mori"")",Anime your Music,1z9eG7g9rhNPIMOs0vhI4R,https://api.spotify.com/v1/tracks/1z9eG7g9rhNPIMOs0vhI4R,0.97,0.103,0.117,0.484,0.0998,-19.394,0.0413,81.989,0.337
The Anthem,Good Charlotte,0BRHnOFm6sjxN1i9LJrUDu,https://api.spotify.com/v1/tracks/0BRHnOFm6sjxN1i9LJrUDu,0.00666,0.494,0.939,0,0.139,-3.127,0.126,177.751,0.893
My Love,Westlife,5p0ietGkLNEqx1Z7ijkw5g,https://api.spotify.com/v1/tracks/5p0ietGkLNEqx1Z7ijkw5g,0.098,0.491,0.593,0,0.257,-5.975,0.0255,144.142,0.328
Live Fast - PUBGM,Alan Walker,23gk3dYysgp4FmWyZ2tOZF,https://api.spotify.com/v1/tracks/23gk3dYysgp4FmWyZ2tOZF,0.102,0.69,0.557,0,0.428,-5.443,0.0439,87.536,0.2
Kalinka,The Red Army Choir,38wicLanOGFVTKtkKcSMnn,https://api.spotify.com/v1/tracks/38wicLanOGFVTKtkKcSMnn,0.851,0.202,0.209,0.103,0.0638,-24.75,0.0619,81.816,0.18
Сумецкая,Отава Ё,5FKQzqwPvGfuYiD23Zusb6,https://api.spotify.com/v1/tracks/5FKQzqwPvGfuYiD23Zusb6,0.355,0.574,0.87,0,0.0661,-5.596,0.0359,140.016,0.967
Про Ивана groove,Отава Ё,208Q9dS59uKv9wVSU0dSBg,https://api.spotify.com/v1/tracks/208Q9dS59uKv9wVSU0dSBg,0.394,0.552,0.678,0.000796,0.102,-6.478,0.0237,104.028,0.433
Animal,Noah Kahan,00vhtWzNIISd9I04Cl3K7N,https://api.spotify.com/v1/tracks/00vhtWzNIISd9I04Cl3K7N,0.163,0.709,0.48,0,0.16,-8.353,0.305,175.916,0.365
Wouldn't It Be Nice - Remastered 2000 / Stereo Mix,The Beach Boys,2Gy7qnDwt8Z3MNxqat4CsK,https://api.spotify.com/v1/tracks/2Gy7qnDwt8Z3MNxqat4CsK,0.718,0.392,0.629,3.76E-06,0.129,-7.056,0.0335,124.511,0.72
"Orange (From ""Your Lie in April"") [Ending 2] - Piano Arrangement",Fonzi M,7tUePHQT88vhsAsWnlAQ29,https://api.spotify.com/v1/tracks/7tUePHQT88vhsAsWnlAQ29,0.972,0.483,0.201,0.94,0.126,-18.492,0.0365,172.066,0.113
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,0.0188,0.743,0.752,0,0.287,-4.813,0.0414,110.015,0.545
"You Will Be Found (From ""Dear Evan Hansen"")",BYU Vocal Point,3iFjfGxlPGFjavrtVaDGKx,https://api.spotify.com/v1/tracks/3iFjfGxlPGFjavrtVaDGKx,0.305,0.305,0.572,0,0.12,-6.615,0.0349,86.786,0.266
You & I,One Direction,2afCBiru10AFckfOa49wIa,https://api.spotify.com/v1/tracks/2afCBiru10AFckfOa49wIa,0.22,0.574,0.329,0,0.0986,-6.829,0.0274,130.993,0.356
Leap Of Faith,Bullet For My Valentine,6pspGA0zLaGeLKQ2Ioxe1g,https://api.spotify.com/v1/tracks/6pspGA0zLaGeLKQ2Ioxe1g,0.00411,0.419,0.925,0,0.306,-6.055,0.0931,142.517,0.245
Heroes Tonight,Janji,3SipFlNddvL0XNZRLXvdZD,https://api.spotify.com/v1/tracks/3SipFlNddvL0XNZRLXvdZD,0.075,0.537,0.786,0,0.253,-4.331,0.0317,127.994,0.178
Echoes,Domastic,3AT5zKqec0wrw28UOT8GwB,https://api.spotify.com/v1/tracks/3AT5zKqec0wrw28UOT8GwB,0.000804,0.66,0.831,1.27E-06,0.316,-5.122,0.0533,128.005,0.18
Flutter,Diamond Eyes,4SChm6bJIwNRpaWzN6iPTr,https://api.spotify.com/v1/tracks/4SChm6bJIwNRpaWzN6iPTr,0.0569,0.588,0.893,0.000748,0.103,-4.932,0.0531,159.975,0.23
Gizmo,Syn Cole,03As1KdZnUfricQT09te8C,https://api.spotify.com/v1/tracks/03As1KdZnUfricQT09te8C,0.23,0.788,0.793,0.237,0.106,-3.568,0.0336,124.039,0.752
Everything,Diamond Eyes,2goIIAg5kdzfwclJMFZM33,https://api.spotify.com/v1/tracks/2goIIAg5kdzfwclJMFZM33,0.0509,0.609,0.681,0,0.0845,-4.084,0.0516,140.038,0.386
Heaven,Avicii,0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/tracks/0vrmHPfoBadXVr2n0m1aqZ,0.0715,0.592,0.873,0.00982,0.142,-5.65,0.0275,122.011,0.516
Happy Now - R3HAB Remix,Kygo,7AkLPOwjju8taQCJCaIUts,https://api.spotify.com/v1/tracks/7AkLPOwjju8taQCJCaIUts,0.0173,0.623,0.84,0,0.363,-5.446,0.123,123.068,0.539
Hitohira no Hanabira (Bleach ED 17) - Stereopony - Cover,JooHee Ahn,17HRPvRXfxxYqD4RNpeE2k,https://api.spotify.com/v1/tracks/17HRPvRXfxxYqD4RNpeE2k,0.0489,0.625,0.532,0,0.388,-10.838,0.0364,140.164,0.24
Memories,Maroon 5,4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,0.841,0.775,0.327,0,0.0821,-7.241,0.0557,91.05,0.595
Graveyard,Halsey,2ufmtcIFdFpuUYBPXK5f67,https://api.spotify.com/v1/tracks/2ufmtcIFdFpuUYBPXK5f67,0.231,0.667,0.583,4.48E-05,0.181,-5.127,0.0747,92.043,0.187
Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,0.513
Bad Karma,Axel Thesleff,5ZVujHtwnsqFJvLnqRSdch,https://api.spotify.com/v1/tracks/5ZVujHtwnsqFJvLnqRSdch,0.0131,0.7,0.546,0.0305,0.172,-7.705,0.109,80.004,0.302
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243
Despacito - Remix,Luis Fonsi,4bKlEyObn16bFmJMNd0Zt6,https://api.spotify.com/v1/tracks/4bKlEyObn16bFmJMNd0Zt6,0.243,0.688,0.812,0,0.0742,-4.355,0.135,89.01,0.834
La La La - Kaos Remix [Bonus Track],Naughty Boy,5T4OIa9q7wntvYo5S6M8OD,https://api.spotify.com/v1/tracks/5T4OIa9q7wntvYo5S6M8OD,0.128,0.603,0.821,0.00287,0.134,-3.698,0.0836,145.054,0.688
Fight Back,NEFFEX,6KigD0mlF4VGDYiSEzAyYw,https://api.spotify.com/v1/tracks/6KigD0mlF4VGDYiSEzAyYw,0.094,0.716,0.946,6.63E-05,0.0825,-3.412,0.261,139.943,0.587
Older,Sasha Alex Sloan,52iLDrSoRtf9lcgFuLVfqE,https://api.spotify.com/v1/tracks/52iLDrSoRtf9lcgFuLVfqE,0.743,0.681,0.292,0,0.0974,-9.599,0.0483,64.002,0.162
Movie,Tom Misch,6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/tracks/6pxElwU80zhjbCC77Vn8EI,0.391,0.785,0.379,0.0161,0.267,-11.446,0.0732,122.043,0.182
My All Time,Ray & Ray,2M9T9sHGfR6LdtEwIpGf1e,https://api.spotify.com/v1/tracks/2M9T9sHGfR6LdtEwIpGf1e,0.723,0.649,0.431,0.00189,0.106,-8.207,0.028,92.003,0.354
Imaginary Friends,oomiee,05ei6SRdXCYEWrD8mVoPrO,https://api.spotify.com/v1/tracks/05ei6SRdXCYEWrD8mVoPrO,0.859,0.712,0.411,0.231,0.35,-12.018,0.274,85.028,0.428
Girl That Was Perfect,Alina Smith,2MYdIn8tGdJBMCgFcsOBbl,https://api.spotify.com/v1/tracks/2MYdIn8tGdJBMCgFcsOBbl,0.127,0.663,0.556,7.11E-05,0.144,-8.307,0.0586,136.028,0.497
When This Is Over,Dabin,6uWjyVRDBaTnYGleHuQ19Q,https://api.spotify.com/v1/tracks/6uWjyVRDBaTnYGleHuQ19Q,0.0193,0.609,0.639,6.29E-06,0.0623,-6.239,0.0297,129.976,0.435
U & Me,ILLENIUM,2umqe74ItZBWCdChsHtXjQ,https://api.spotify.com/v1/tracks/2umqe74ItZBWCdChsHtXjQ,0.0128,0.563,0.837,0.00922,0.0401,-5.025,0.0457,88.02,0.631
Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1,0.0654,0.664,0.705,0,0.118,-4.972,0.0382,122.016,0.477
Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,0.0114,0.783,0.58,2.28E-06,0.108,-6.548,0.0408,120.021,0.66
TiK ToK,Kesha,0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,0.0991,0.755,0.837,0,0.289,-2.718,0.142,120.028,0.714
Timber (feat. Ke$ha),Pitbull,3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,0.0295,0.581,0.963,0,0.139,-4.087,0.0981,129.992,0.788
Rain Over Me (feat. Marc Anthony) - Benny Benassi Remix,Pitbull,6GPER1Sx8MrBiwWxdulg5Q,https://api.spotify.com/v1/tracks/6GPER1Sx8MrBiwWxdulg5Q,0.0434,0.575,0.78,2.91E-06,0.0666,-1.726,0.276,129.917,0.263
Dark Horse - Instrumental Version,Daytuner,4QXryClJF5XLXqJTNarSUp,https://api.spotify.com/v1/tracks/4QXryClJF5XLXqJTNarSUp,0.000158,0.686,0.417,0.24,0.137,-8.465,0.0298,131.991,0.141
Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI,0.00492,0.671,0.771,7.28E-06,0.354,-4.821,0.0316,90.003,0.436
California Gurls (Made Popular By Katy Perry ft. Snoop Dogg) [Vocal Version],Party Tyme Karaoke,410Bh7pEXzPPvnv1ZX8iuH,https://api.spotify.com/v1/tracks/410Bh7pEXzPPvnv1ZX8iuH,0.0165,0.791,0.491,2.06E-06,0.0774,-9.291,0.0612,125.051,0.75
Glad You Came,The Wanted,5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/tracks/5yDL13y5giogKs2fSNf7sj,0.0319,0.722,0.851,0,0.108,-3.873,0.0639,126.885,0.452
Poker Face,Lady Gaga,1QV6tiMFM6fSOKOGLMHYYg,https://api.spotify.com/v1/tracks/1QV6tiMFM6fSOKOGLMHYYg,0.118,0.851,0.806,1.64E-06,0.121,-4.62,0.0787,118.999,0.787
Hot N Cold,Katy Perry,0iGckQFyv6svOfAbAY9aWJ,https://api.spotify.com/v1/tracks/0iGckQFyv6svOfAbAY9aWJ,7.95E-05,0.706,0.841,0,0.0688,-3.956,0.0418,132.032,0.861
Just Dance,Lady Gaga,1dzQoRqT5ucxXVaAhTcT0J,https://api.spotify.com/v1/tracks/1dzQoRqT5ucxXVaAhTcT0J,0.0264,0.822,0.739,4.26E-05,0.181,-4.541,0.0311,118.992,0.745
Teenage Dream,Katy Perry,235LXPXfi0SmOaS9TaCh3c,https://api.spotify.com/v1/tracks/235LXPXfi0SmOaS9TaCh3c,0.0162,0.719,0.798,2.34E-06,0.134,-4.582,0.0361,120.011,0.591
Wide Awake,Katy Perry,5JLv62qFIS1DR3zGEcApRt,https://api.spotify.com/v1/tracks/5JLv62qFIS1DR3zGEcApRt,0.0749,0.514,0.683,2.64E-06,0.392,-5.099,0.0367,159.814,0.575
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,0.00627,0.766,0.873,0,0.0764,-6.381,0.143,126.988,0.743
Drops of Jupiter (Tell Me),Train,2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,0.153,0.481,0.638,0,0.154,-5.862,0.0276,79.064,0.497
How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,0.269,0.64,0.743,0,0.101,-4.08,0.0379,122.035,0.361
Rock with You - Single Version,Michael Jackson,7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,0.179,0.808,0.535,9.91E-05,0.158,-12.521,0.0353,114.031,0.848
Bad Romance,Lady Gaga,0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,0.00314,0.696,0.921,5.24E-05,0.0842,-3.755,0.0363,119.001,0.714
Last Friday Night (T.G.I.F.),Katy Perry,4lfWtdcKvEeK3Olo0BVvlA,https://api.spotify.com/v1/tracks/4lfWtdcKvEeK3Olo0BVvlA,0.00124,0.65,0.817,1.14E-05,0.658,-3.826,0.0441,126.024,0.728
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,0.121,0.674,0.428,0,0.132,-9.504,0.122,84.878,0.337
Dynamite,Taio Cruz,2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,0.00379,0.751,0.783,0,0.036,-3.724,0.0859,119.975,0.816
Party Rock Anthem - DJ Enferno Remix,LMFAO,1ns4Mv2zzbhElbSLMaO2QG,https://api.spotify.com/v1/tracks/1ns4Mv2zzbhElbSLMaO2QG,0.0128,0.764,0.782,6.61E-06,0.513,-5.169,0.0664,129.993,0.846
Party In The U.S.A.,Miley Cyrus,3E7dfMvvCLUddWissuqMwr,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,0.00112,0.652,0.698,0.000115,0.0886,-4.667,0.042,96.021,0.47
Bring Me To Life,Evanescence,0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,0.00721,0.331,0.943,2.06E-06,0.242,-3.188,0.0698,94.612,0.296
Viva La Vida,Coldplay,1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,0.0954,0.486,0.617,3.23E-06,0.109,-7.115,0.0287,138.015,0.417
We Are Young,fun.,5j9hAu06TRLn3RCF0GDgCI,https://api.spotify.com/v1/tracks/5j9hAu06TRLn3RCF0GDgCI,0.0197,0.379,0.637,7.87E-05,0.0849,-5.574,0.0745,184.087,0.757
Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,https://api.spotify.com/v1/tracks/5NORWMFC27ywGSZxi8uquP,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,76.023,0.566
Safe And Sound - DiscoTech Remix,Capital Cities,2VnAiO8sum4aiZNv2TAusc,https://api.spotify.com/v1/tracks/2VnAiO8sum4aiZNv2TAusc,0.0192,0.72,0.809,0.000205,0.0991,-4.591,0.0359,121.991,0.659
Pompeii,Bastille,6fNhZRFEkBfgW39W3wKARJ,https://api.spotify.com/v1/tracks/6fNhZRFEkBfgW39W3wKARJ,0.0755,0.679,0.715,0,0.271,-6.383,0.0407,127.435,0.571
Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,0.0275,0.512,0.662,0,0.118,-6.797,0.0439,180.114,0.472
Little Talks - Acoustic,Of Monsters and Men,6eKxvBVdLLYOpAwlu6yKte,https://api.spotify.com/v1/tracks/6eKxvBVdLLYOpAwlu6yKte,0.263,0.375,0.401,0,0.0818,-7.21,0.0351,103.787,0.362
The Power of Love,Céline Dion,5kK1Iru9ogP3Iy1zsANU1n,https://api.spotify.com/v1/tracks/5kK1Iru9ogP3Iy1zsANU1n,0.36,0.546,0.519,0.00046,0.24,-9.072,0.0291,140.054,0.247
How Am I Supposed to Live Without You,Michael Bolton,3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/tracks/3RMeOetCdXttthQK0clPuz,0.191,0.541,0.44,0,0.114,-12.206,0.031,140.273,0.232
Stereo Hearts,La Mer,5Luj3g57bkFA1kbwcBZ4VG,https://api.spotify.com/v1/tracks/5Luj3g57bkFA1kbwcBZ4VG,0.0925,0.698,0.898,0,0.346,-3.579,0.187,89.911,0.667
Problem (Made Popular By Ariana Grande ft. Iggy Azalea) [Vocal Version],Party Tyme Karaoke,4LiNa6kNXMzGQsBOtUvhHO,https://api.spotify.com/v1/tracks/4LiNa6kNXMzGQsBOtUvhHO,0.0055,0.714,0.71,0.000244,0.109,-9.087,0.209,103.024,0.679
International Love (Made Popular By Pitbull ft. Chris Brown) [Instrumental Version],Party Tyme Karaoke,2MZgH2ihPiufRFyOlUtwUX,https://api.spotify.com/v1/tracks/2MZgH2ihPiufRFyOlUtwUX,5.13E-05,0.659,0.641,0.7,0.164,-11.362,0.0452,119.996,0.587
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,1IJYb2qBTHMoDzHgsuA86H,https://api.spotify.com/v1/tracks/1IJYb2qBTHMoDzHgsuA86H,0.182,0.673,0.932,1.93E-06,0.303,-3.252,0.164,129.029,0.536
Feel This Moment (Made Popular By Pitbull ft. Christina Aguilera) [Instrumental Version],Party Tyme Karaoke,3ovNHN1aBEbYLxWN2ZEvMq,https://api.spotify.com/v1/tracks/3ovNHN1aBEbYLxWN2ZEvMq,0.00579,0.779,0.618,0.61,0.174,-9.371,0.0838,128.999,0.13
This Feeling (Originally Performed by the Chainsmokers Ft. Kelsea Ballerini) - Instrumental Version,Hit The Button Karaoke,3NpegsKVJby5QmZ1A7sRpz,https://api.spotify.com/v1/tracks/3NpegsKVJby5QmZ1A7sRpz,0.212,0.783,0.233,0.953,0.0786,-15.459,0.0429,105.028,0.159
The Final Countdown,Europe,3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,0.0628,0.529,0.843,0.000827,0.0608,-6.908,0.0616,117.662,0.188
Way Back Home,SHAUN,3NxuezMdSLgt4OwHzBoUhL,https://api.spotify.com/v1/tracks/3NxuezMdSLgt4OwHzBoUhL,0.405,0.745,0.739,0.000183,0.127,-4.591,0.0327,99.913,0.556
Kiss and Make Up,Dua Lipa,7jr3iPu4O4bTCVwLMbdU2i,https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i,0.0658,0.678,0.729,0,0.303,-4.188,0.137,99.895,0.643
Our Summer,TOMORROW X TOGETHER,22PEycypPsZpzlMxTgukiQ,https://api.spotify.com/v1/tracks/22PEycypPsZpzlMxTgukiQ,0.00271,0.739,0.571,0,0.165,-5.53,0.0323,107.98,0.267
Start Over,Gaho,3e4tHEcyzEtngkCw8ZBSMS,https://api.spotify.com/v1/tracks/3e4tHEcyzEtngkCw8ZBSMS,0.172,0.591,0.818,0,0.126,-3.532,0.073,108.107,0.574
Help Me,(G)I-DLE,7lZqVyqbMtx4O1lrJCvRH0,https://api.spotify.com/v1/tracks/7lZqVyqbMtx4O1lrJCvRH0,0.144,0.778,0.688,1.22E-05,0.372,-5.133,0.0324,117.513,0.426
Future,Red Velvet,2gvlPqqngL3BppFCwLXnVc,https://api.spotify.com/v1/tracks/2gvlPqqngL3BppFCwLXnVc,0.438,0.717,0.868,0,0.148,-3.073,0.04,100.005,0.552
Running,Gaho,3t0Dw9zYFXK4ezJxbM3rbj,https://api.spotify.com/v1/tracks/3t0Dw9zYFXK4ezJxbM3rbj,0.203,0.572,0.85,0,0.313,-3.112,0.0558,139.986,0.608
Hola Hola,KARD,3VC1IEz9M1txlMSx3h3tPM,https://api.spotify.com/v1/tracks/3VC1IEz9M1txlMSx3h3tPM,0.0135,0.843,0.807,6.44E-05,0.227,-3.794,0.0632,104.962,0.833
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,0.478
Worth It (feat. Kid Ink),Fifth Harmony,41Fflg7qHiVOD6dEPvsCzO,https://api.spotify.com/v1/tracks/41Fflg7qHiVOD6dEPvsCzO,0.063,0.884,0.765,7.04E-06,0.118,-3.865,0.0882,99.987,0.594
My Head & My Heart,Ava Max,1KixkQVDUHggZMU9dUobgm,https://api.spotify.com/v1/tracks/1KixkQVDUHggZMU9dUobgm,0.0697,0.614,0.934,0,0.121,-3.709,0.07,116.001,0.436
Dancing In The Moonlight (feat. NEIMY),Jubël,4GSDkZt7GcmzBWmsMcpaVO,https://api.spotify.com/v1/tracks/4GSDkZt7GcmzBWmsMcpaVO,0.27,0.659,0.615,0,0.187,-5.865,0.0644,119.843,0.193
Don't You Worry Child - Radio Edit,Swedish House Mafia,2V65y3PX4DkRhy1djlxd9p,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,0.112,0.612,0.84,0,0.116,-3.145,0.0509,129.042,0.438
Lean On,Major Lazer,1Lim1Py7xBgbAkAys3AGAG,https://api.spotify.com/v1/tracks/1Lim1Py7xBgbAkAys3AGAG,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,0.274
